file,class 0,class 1,class 2,class 3,class 4,class 5,class 6,class 7,class 8,class 9
0.0_2.15a.wav,1,0,1,0,0,0,0,0,0,0
0.0_2.15b.wav,1,0,1,0,0,0,0,0,0,0
0.0_2.15c.wav,1,0,1,0,0,0,0,0,0,0
0.0_2.19a.wav,1,0,1,0,0,0,0,0,0,0
0.0_2.19b.wav,1,0,1,0,0,0,0,0,0,0
0.0_2.19c.wav,1,0,1,0,0,0,0,0,0,0
0.0_3.10a.wav,1,0,0,1,0,0,0,0,0,0
0.0_3.10b.wav,1,0,0,1,0,0,0,0,0,0
0.0_3.10c.wav,1,0,0,1,0,0,0,0,0,0
0.0_5.2_6.12a.wav,1,0,0,0,0,1,1,0,0,0
0.0_5.2_6.12b.wav,1,0,0,0,0,1,1,0,0,0
0.0_5.2_6.12c.wav,1,0,0,0,0,1,1,0,0,0
0.0_5.2_6.12d.wav,1,0,0,0,0,1,1,0,0,0
0.0_5.2_6.12e.wav,1,0,0,0,0,1,1,0,0,0
0.0_5.2_6.12f.wav,1,0,0,0,0,1,1,0,0,0
0.0_5.2_6.12g.wav,1,0,0,0,0,1,1,0,0,0
0.0_5.2_6.12h.wav,1,0,0,0,0,1,1,0,0,0
0.0_5.2_6.12i.wav,1,0,0,0,0,1,1,0,0,0
0.0_5.8a.wav,1,0,0,0,0,1,0,0,0,0
0.0_5.8b.wav,1,0,0,0,0,1,0,0,0,0
0.0_5.8c.wav,1,0,0,0,0,1,0,0,0,0
0.0_6.12_5.2a.wav,1,0,0,0,0,1,1,0,0,0
0.0_6.12_5.2b.wav,1,0,0,0,0,1,1,0,0,0
0.0_6.12_5.2c.wav,1,0,0,0,0,1,1,0,0,0
0.0_6.12_5.2d.wav,1,0,0,0,0,1,1,0,0,0
0.0_6.12_5.2e.wav,1,0,0,0,0,1,1,0,0,0
0.0_6.12_5.2f.wav,1,0,0,0,0,1,1,0,0,0
0.0_6.12_5.2g.wav,1,0,0,0,0,1,1,0,0,0
0.0_6.12_5.2h.wav,1,0,0,0,0,1,1,0,0,0
0.0_6.12_5.2i.wav,1,0,0,0,0,1,1,0,0,0
0.0_7.3a.wav,1,0,0,0,0,0,0,1,0,0
0.0_7.3b.wav,1,0,0,0,0,0,0,1,0,0
0.0_7.3c.wav,1,0,0,0,0,0,0,1,0,0
0.0_7.8a.wav,1,0,0,0,0,0,0,1,0,0
0.0_7.8b.wav,1,0,0,0,0,0,0,1,0,0
0.0_7.8c.wav,1,0,0,0,0,0,0,1,0,0
0.0_9.0a.wav,1,0,0,0,0,0,0,0,0,1
0.0_9.0b.wav,1,0,0,0,0,0,0,0,0,1
0.0_9.0c.wav,1,0,0,0,0,0,0,0,0,1
0.0_9.7a.wav,1,0,0,0,0,0,0,0,0,1
0.0_9.7b.wav,1,0,0,0,0,0,0,0,0,1
0.0_9.7c.wav,1,0,0,0,0,0,0,0,0,1
0.0a.wav,1,0,0,0,0,0,0,0,0,0
0.10_1.18a.wav,1,1,0,0,0,0,0,0,0,0
0.10_1.18b.wav,1,1,0,0,0,0,0,0,0,0
0.10_1.18c.wav,1,1,0,0,0,0,0,0,0,0
0.10_2.1_5.8a.wav,1,0,1,0,0,1,0,0,0,0
0.10_2.1_5.8b.wav,1,0,1,0,0,1,0,0,0,0
0.10_2.1_5.8c.wav,1,0,1,0,0,1,0,0,0,0
0.10_2.1_5.8d.wav,1,0,1,0,0,1,0,0,0,0
0.10_2.1_5.8e.wav,1,0,1,0,0,1,0,0,0,0
0.10_2.1_5.8f.wav,1,0,1,0,0,1,0,0,0,0
0.10_2.1_5.8g.wav,1,0,1,0,0,1,0,0,0,0
0.10_2.1_5.8h.wav,1,0,1,0,0,1,0,0,0,0
0.10_2.1_5.8i.wav,1,0,1,0,0,1,0,0,0,0
0.10_2.3a.wav,1,0,1,0,0,0,0,0,0,0
0.10_2.3b.wav,1,0,1,0,0,0,0,0,0,0
0.10_2.3c.wav,1,0,1,0,0,0,0,0,0,0
0.10_3.5a.wav,1,0,0,1,0,0,0,0,0,0
0.10_3.5b.wav,1,0,0,1,0,0,0,0,0,0
0.10_3.5c.wav,1,0,0,1,0,0,0,0,0,0
0.10_5.16a.wav,1,0,0,0,0,1,0,0,0,0
0.10_5.16b.wav,1,0,0,0,0,1,0,0,0,0
0.10_5.16c.wav,1,0,0,0,0,1,0,0,0,0
0.10_5.2a.wav,1,0,0,0,0,1,0,0,0,0
0.10_5.2b.wav,1,0,0,0,0,1,0,0,0,0
0.10_5.2c.wav,1,0,0,0,0,1,0,0,0,0
0.10_5.3a.wav,1,0,0,0,0,1,0,0,0,0
0.10_5.3b.wav,1,0,0,0,0,1,0,0,0,0
0.10_5.3c.wav,1,0,0,0,0,1,0,0,0,0
0.10_5.8_2.1a.wav,1,0,1,0,0,1,0,0,0,0
0.10_5.8_2.1b.wav,1,0,1,0,0,1,0,0,0,0
0.10_5.8_2.1c.wav,1,0,1,0,0,1,0,0,0,0
0.10_5.8_2.1d.wav,1,0,1,0,0,1,0,0,0,0
0.10_5.8_2.1e.wav,1,0,1,0,0,1,0,0,0,0
0.10_5.8_2.1f.wav,1,0,1,0,0,1,0,0,0,0
0.10_5.8_2.1g.wav,1,0,1,0,0,1,0,0,0,0
0.10_5.8_2.1h.wav,1,0,1,0,0,1,0,0,0,0
0.10_5.8_2.1i.wav,1,0,1,0,0,1,0,0,0,0
0.10_6.14a.wav,1,0,0,0,0,0,1,0,0,0
0.10_6.14b.wav,1,0,0,0,0,0,1,0,0,0
0.10_6.14c.wav,1,0,0,0,0,0,1,0,0,0
0.10_6.4a.wav,1,0,0,0,0,0,1,0,0,0
0.10_6.4b.wav,1,0,0,0,0,0,1,0,0,0
0.10_6.4c.wav,1,0,0,0,0,0,1,0,0,0
0.10_8.7a.wav,1,0,0,0,0,0,0,0,1,0
0.10_8.7b.wav,1,0,0,0,0,0,0,0,1,0
0.10_8.7c.wav,1,0,0,0,0,0,0,0,1,0
0.10_8.9_9.5a.wav,1,0,0,0,0,0,0,0,1,1
0.10_8.9_9.5b.wav,1,0,0,0,0,0,0,0,1,1
0.10_8.9_9.5c.wav,1,0,0,0,0,0,0,0,1,1
0.10_8.9_9.5d.wav,1,0,0,0,0,0,0,0,1,1
0.10_8.9_9.5e.wav,1,0,0,0,0,0,0,0,1,1
0.10_8.9_9.5f.wav,1,0,0,0,0,0,0,0,1,1
0.10_8.9_9.5g.wav,1,0,0,0,0,0,0,0,1,1
0.10_8.9_9.5h.wav,1,0,0,0,0,0,0,0,1,1
0.10_8.9_9.5i.wav,1,0,0,0,0,0,0,0,1,1
0.10_8.9a.wav,1,0,0,0,0,0,0,0,1,0
0.10_8.9b.wav,1,0,0,0,0,0,0,0,1,0
0.10_8.9c.wav,1,0,0,0,0,0,0,0,1,0
0.10_9.11a.wav,1,0,0,0,0,0,0,0,0,1
0.10_9.11b.wav,1,0,0,0,0,0,0,0,0,1
0.10_9.11c.wav,1,0,0,0,0,0,0,0,0,1
0.10_9.1a.wav,1,0,0,0,0,0,0,0,0,1
